"ISSN";"Titulo";"Area";"Estrato"
"0103-3557";"ÁGORA: ARQUIVOLOGIA EM DEBATE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"0104-7507";"AGORA (UNC)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1982-6737";"ÁGORA (UNISC. ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"2357-9951";"AGRARIAN ACADEMY";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"2675-7710";"AGRICULTURA FAMILIAR (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"0168-1923";"AGRICULTURAL AND FOREST METEOROLOGY (PRINT)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"2471-6774";"AGRICULTURAL RESEARCH AND TECHNOLOGY: OPEN ACCESS JOURNAL";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"0308-521X";"AGRICULTURAL SYSTEMS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"2077-0472";"AGRICULTURE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"0889-048X";"AGRICULTURE AND HUMAN VALUES";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"2624-7402";"AGRIENGINEERING";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1316-0354";"AGROALIMENTARIA (CARACAS)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"0100-4298";"AGROANALYSIS (FGV)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"2168-3565";"AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS (PRINT)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"0167-4366";"AGROFORESTRY SYSTEMS (PRINT)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"2526-7043";"AGROMETEOROS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"2073-4395";"AGRONOMY";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"2359-1455";"AGRONOMY SCIENCE AND BIOTECHNOLOGY";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"2525-877X";"AGROPAMPA: REVISTA DE GESTÃO DO AGRONEGÓCIO";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1678-7471";"ÁGUA VIVA (UNB)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"2340-7743";"AGUA Y TERRITORIO";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"1938-9604";"AIB INSIGHTS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"0269-9370";"AIDS (LONDON)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"2471-2086";"AIMS AGRICULTURE AND FOOD";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"2372-0352";"AIMS ENVIRONMENTAL SCIENCE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"2473-3458";"AIS TRANSACTIONS ON REPLICATION RESEARCH";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"0568-3939";"AISTHESIS (SANTIAGO. IMPRESO)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1449-8618";"AJIS. AUSTRALASIAN JOURNAL OF INFORMATION SYSTEMS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1522-1555";"AJP: ENDOCRINOLOGY AND METABOLISM (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1982-1093";"AKRÓPOLIS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
